Confirmed,Genus,species,Sample.Type.Taken,Age_class,Sex,Date and Time,day.found,month.found,year.found,Latitude,Longitude,Northing,Easting,Confirmed Habitat,Aquatic or Terrestrial,Burrow.ID,Diameter,Scoped,Burrow_Status,Grid.ID,Wetland.ID,Notes,Citation,Site,County,State,Data_conta,Data_org,Region,Data.Source,Duplicate,Notes on duplicate
Confirmed,Rana,capito,,adult,,,0,,2001,30.740317,-82.1336,3421996.435,-7711187.473,burrow,,,,,,,,"Locality from 2001 near Okefenokee Headquarters. An adult frog was captured in a funnel trap. In 2014 we evaluated the site from satellite imagery and found it unchanged, thus we expect Gopher frogs are still present.",Terrell and Maerz 2103,Okefenokee,Charlton,Georgia,John Maerz,GA_UGA,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.74111849,-82.12999697,3422085.657,-7710849.199,burrow,,,,,,,,alive in burrow,Lance Paden,adj Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.73633068,-82.11409218,3421552.68,-7709355.963,road,,,,,,,,1 individual,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.74119054,-82.11811819,3422093.677,-7709733.949,incidental,,,,,,,,,,,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.74046889,-82.13429791,3422013.344,-7711252.997,road,,,,,,,,,,,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.72850772,-82.1176421,3420681.832,-7709689.251,burrow,,,,,,,,2 alive in adjacent burrows,Lance Paden,adj to Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.73721593,-82.12027197,3421651.226,-7709936.158,incidental,,,,,,,,1 individual,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.73773242,-82.12396269,3421708.721,-7710282.665,incidental,,,,,,,,probable gopher frog,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.74284102,-82.10473662,3422277.408,-7708477.608,incidental,,,,,,,,1 individual,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.73773239,-82.12147364,3421708.718,-7710048.978,burrow,,,,,,,,2 gopher frogs in burrow,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.7373635,-82.12662346,3421667.653,-7710532.474,incidental,,,,,,,,probable gopher frog,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.74009304,-82.11220385,3421971.504,-7709178.676,incidental,,,,,,,,1 individual,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.74068322,-82.11434962,3422037.203,-7709380.133,road,,,,,,,,1 individual,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.73120066,-82.1189724,3420981.609,-7709814.147,burrow,,,,,,,,2 alive in burrow,Lance Paden,adj to Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.73038914,-82.11586105,3420891.271,-7709522.035,burrow,,,,,,,,alive in burrow,Lance Paden,adj to Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.73175658,-82.12001453,3421043.494,-7709911.988,incidental,,,,,,,,1 individual,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
Confirmed,Rana,capito,,,,,19,,2001,30.73234685,-82.12791091,3421109.202,-7710653.347,incidental,,,,,,,,1 individual,Matthew Stoddard and crew,Okefenokee NWR,Charlton,Georgia,Matt Elliot,GA_DNR,Florida Peninsula,,,
